Bra000001	DNAse I-like superfamily protein
Bra038788	No annotation found
Bra038789	Dof-type zinc finger domain-containing protein
Bra038790	Dof-type zinc finger domain-containing protein
Bra038791	alpha carbonic anhydrase 4
Bra038792	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra038793	Cytidine/deoxycytidylate deaminase family protein
Bra038794	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038795	tubulin beta-9 chain
Bra038796	ethylene-responsive nuclear protein / ethylene-regulated nuclear protein (ERT2)
Bra038797	tripeptidyl peptidase ii
Bra038798	FAD-binding Berberine family protein
Bra038799	FAD-binding Berberine family protein
Bra038800	Leucine-rich repeat protein kinase family protein
Bra038801	calmodulin like 42
Bra038802	small nuclear ribonucleoprotein associated protein B
Bra038803	Tapetum specific protein TAP35/TAP44
Bra038804	LSD1 zinc finger family protein
Bra038805	RAB GTPase homolog E1B
Bra038806	No annotation found
Bra038807	CTP synthase family protein
Bra038808	Ribonuclease H-like superfamily protein
Bra038809	Protein of Unknown Function (DUF239)
Bra038810	Leucine-rich receptor-like protein kinase family protein
Bra038811	plasma-membrane associated cation-binding protein 1
Bra038812	Sec1/munc18-like (SM) proteins superfamily
Bra038813	RING/U-box superfamily protein
Bra038814	No annotation found
Bra038815	SECY homolog 1
Bra038816	diacylglycerol kinase 3
Bra038817	signal recognition particle binding
Bra038818	RNI-like superfamily protein
Bra038819	xyloglucan endotransglucosylase/hydrolase 21
Bra038820	Leucine-rich repeat (LRR) family protein
Bra038821	SET domain-containing protein
Bra038822	Nucleic acid-binding, OB-fold-like protein
Bra038823	Nucleic acid-binding, OB-fold-like protein
Bra038824	BAK1-interacting receptor-like kinase 1
Bra038825	Protein kinase superfamily protein
Bra038826	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038827	Syntaxin/t-SNARE family protein
Bra038828	Protein kinase superfamily protein
Bra038829	Transducin/WD40 repeat-like superfamily protein
Bra038830_Bra038832	LOV KELCH protein 2
Bra038831	LOV KELCH protein 2
Bra038833	No annotation found
Bra038834	homogentisate phytyltransferase 1
Bra038835	H(+)-ATPase 1
Bra038836	No annotation found
Bra038837	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra038838	metaxin-related
Bra038839	Protein of unknown function (DUF630 and DUF632)
Bra038840	No annotation found
Bra038841	Sec14p-like phosphatidylinositol transfer family protein
Bra038842	heavy metal atpase 4
Bra038843	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
Bra038844	subtilisin-like serine protease 3
Bra038845	Protein kinase superfamily protein
Bra038846	No annotation found
Bra038847	F-box family protein
Bra038848	Ypt/Rab-GAP domain of gyp1p superfamily protein
Bra038849	RING/FYVE/PHD zinc finger superfamily protein
Bra038850	No annotation found
Bra038851	No annotation found
Bra038852	Ribosomal protein L14
Bra038853	Pentatricopeptide repeat (PPR) superfamily protein
Bra038854	No annotation found
Bra038855	DNA polymerase delta small subunit
Bra038856	No annotation found
Bra038857	plant intracellular ras group-related LRR 6
Bra038858	Major facilitator superfamily protein
Bra038859	UDP-glucosyl transferase 72E1
Bra038860	No annotation found
Bra038861	No annotation found
Bra038862	UDP-glucosyl transferase 72E1
Bra038863	photosystem II subunit O-2
Bra038864	No annotation found
Bra038865	No annotation found
Bra038866	No annotation found
Bra038867	No annotation found
Bra038868	No annotation found
Bra038869	No annotation found
Bra038870	No annotation found
Bra038871	DOMAIN OF UNKNOWN FUNCTION 724 6
Bra038872	Disease resistance protein (TIR-NBS-LRR class)
Bra038873	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra038874	cytochrome BC1 synthesis
Bra038875	phosducin-like protein 3 homolog
Bra038876	alpha/beta-Hydrolases superfamily protein
Bra038877	RTE1-homolog
Bra038878	No annotation found
Bra038879	No annotation found
Bra038880	Lateral root primordium (LRP) protein-related
Bra038881	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra038882	GATA transcription factor 6
Bra038883	Protein of unknown function (DUF1640)
Bra038884	No annotation found
Bra038885	crooked neck protein, putative / cell cycle protein, putative
Bra038886	No annotation found
Bra038887	Protein of unknown function (DUF3353)
Bra038888	NAD(P)-binding Rossmann-fold superfamily protein
Bra038889	No annotation found
Bra038890	protein serine/threonine kinases;ATP binding;catalytics
Bra038891	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038892	Arabidopsis RAC-like 1
Bra038893	fatA acyl-ACP thioesterase
Bra038894	roline-rich extensin-like receptor kinase 4
Bra038895	Protein phosphatase 2C family protein
Bra038896	DHHC-type zinc finger family protein
Bra038897	Arabidopsis protein of unknown function (DUF241)
Bra038898	Calcium-dependent phosphotriesterase superfamily protein
Bra038899	Calcium-dependent phosphotriesterase superfamily protein
Bra038900	Phosphoinositide phosphatase family protein
Bra038901	Protein phosphatase 2C family protein
Bra038902	tonoplast monosaccharide transporter3
Bra038903	No annotation found
Bra038904	No annotation found
Bra038905	diacylglycerol acyltransferase family
Bra038906	Malectin/receptor-like protein kinase family protein
Bra038907	lipid transfer protein 12
Bra038908	lipid transfer protein 5
Bra038909	No annotation found
Bra038910	PAP/OAS1 substrate-binding domain superfamily
Bra038911	inflorescence meristem receptor-like kinase 2
Bra038912	Pseudouridine synthase family protein
Bra038913	Peptide chain release factor 2
Bra038914	Nucleic acid-binding, OB-fold-like protein
Bra038915	No annotation found
Bra038916	No annotation found
Bra038917	No annotation found
Bra038918	No annotation found
Bra038919	20S proteasome beta subunit G1
Bra038920	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra038921	No annotation found
Bra038922	No annotation found
Bra038923	No annotation found
Bra038924	Protein of unknown function, DUF538
Bra038925	No annotation found
Bra038926	Plant neutral invertase family protein
Bra038927	No annotation found
Bra038929	Disease resistance-responsive (dirigent-like protein) family protein
Bra038930	No annotation found
Bra038931	No annotation found
Bra038932	No annotation found
Bra038933	No annotation found
Bra038934	lipases;hydrolases, acting on ester bonds
Bra038935	cysteine-rich RLK (RECEPTOR-like protein kinase) 10
Bra038936	methyl-CPG-binding domain protein 02
Bra038937	ENTH/ANTH/VHS superfamily protein
Bra038938	Protein of unknown function (DUF1336)
Bra038939	adenylate kinase family protein
Bra038940	Endomembrane protein 70 protein family
Bra038941	No annotation found
Bra038942	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Bra038943	transcriptional factor B3 family protein
Bra038944	No annotation found
Bra038945	glucuronidase 3
Bra038946	purple acid phosphatase 26
Bra038947	MuDR family transposase
Bra038948	Voltage-gated chloride channel family protein
Bra038949	xylogalacturonan deficient 1
Bra038950	chromosome-associated kinesin-related
Bra038951	No annotation found
Bra038952	Glucose-6-phosphate/phosphate translocator-related
Bra038953	Eukaryotic aspartyl protease family protein
Bra038954	Eukaryotic aspartyl protease family protein
Bra038955	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra038956	Haem oxygenase-like, multi-helical
Bra038957	Endomembrane protein 70 protein family
Bra038958	ZPR1 zinc-finger domain protein
Bra038959	Chaperone DnaJ-domain superfamily protein
Bra038960	Exostosin family protein
Bra038961	No annotation found
Bra038962	Rapid alkalinization factor (RALF) family protein
Bra038963	CDPK-related kinase
Bra038964	selenium-binding protein 1
Bra038965	selenium-binding protein 2
Bra038966	selenium-binding protein 1
Bra038967	selenium-binding protein 2
Bra038968	Pentatricopeptide repeat (PPR) superfamily protein
Bra038969	O-Glycosyl hydrolases family 17 protein
Bra038970	Eukaryotic release factor 1 (eRF1) family protein
Bra038971	No annotation found
Bra038972	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra038973	No annotation found
Bra038974	No annotation found
Bra038975	No annotation found
Bra038976	No annotation found
Bra038977	peptidoglycan-binding LysM domain-containing protein
Bra038978	No annotation found
Bra038979	No annotation found
Bra038980	No annotation found
Bra038981	DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein
Bra038982	F-box family protein
Bra038983	F-box family protein
Bra038984	Nucleic acid-binding, OB-fold-like protein
Bra038985	No annotation found
Bra038986	No annotation found
Bra038987	No annotation found
Bra038988	No annotation found
Bra038989_Bra038990	No annotation found
Bra038991	No annotation found
Bra038992	Glycoprotein membrane precursor GPI-anchored
Bra038993	No annotation found
Bra038994	No annotation found
Bra038995	Eukaryotic protein of unknown function (DUF872)
Bra038996	zinc ion binding
Bra038997	No annotation found
Bra038998	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
Bra038999	U-box domain-containing protein kinase family protein
Bra039000	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bra039001	CLP protease proteolytic subunit 2
Bra039002	DWD (DDB1-binding WD40 protein) hypersensitive to ABA 1
Bra039003	membrane bound O-acyl transferase (MBOAT) family protein
Bra039004	cytidine deaminase 1
Bra039005	tetraspanin2
Bra039006	ACC oxidase 1
Bra039007	No annotation found
Bra039008	tetraspanin2
Bra039009	K+ efflux antiporter 4
Bra039010	protein arginine methyltransferase 1A
Bra039011	phospholipase A2-beta
Bra039012	Regulator of Vps4 activity in the MVB pathway protein
Bra039013	ribosomal protein S15A B
Bra039014	Ribosomal L28e protein family
Bra039015	Leucine-rich repeat protein kinase family protein
Bra039016	Ribosomal protein L31e family protein
Bra039017	Ribosomal protein S30 family protein
Bra039018	profilin 1
Bra039019	profilin 5
Bra039020	SNARE-like superfamily protein
Bra039021	myo-inositol oxygenase 2
Bra039022	CCCH-type zinc finger family protein
Bra039023	SNF7 family protein
Bra039024	mediator 21
Bra039025	hexokinase 1
Bra039026	tRNA/rRNA methyltransferase (SpoU) family protein
Bra039027	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein
Bra039028	Nucleotide-diphospho-sugar transferases superfamily protein
Bra039029	NADP-malic enzyme 1
Bra039030	RNA-dependent RNA polymerase family protein
Bra039031	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
Bra039032	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein
Bra039033	F-box and associated interaction domains-containing protein
Bra039034	CDC27  family protein
Bra039035	Protein of unknown function (DUF810)
Bra039036	myb domain protein 110
Bra039037	Calcium-binding EF-hand family protein
Bra039038	homeobox protein 34
Bra039039	mini zinc finger 2
Bra039040	myb domain protein 30
Bra039041	Ribosomal protein L34e superfamily protein
Bra039042	ATP binding cassette subfamily B19
Bra039043	basic helix-loop-helix (bHLH) DNA-binding family protein
Bra039044	Glutaredoxin family protein
Bra039045	Protein of unknown function (DUF1216)
Bra039046	No annotation found
Bra039047	Cytochrome P450 superfamily protein
Bra039048	ATPase, V0/A0 complex, subunit C/D
Bra039049	Protein kinase superfamily protein
Bra039050	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra039051	Subtilase family protein
Bra039052	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra039053	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra039054	60S acidic ribosomal protein family
Bra039055	ABC transporter family protein
Bra039056	ABC transporter family protein
Bra039057	RNA polymerase Rpb6
Bra039058	galacturonosyltransferase-like 10
Bra039059	Peroxidase superfamily protein
Bra039060	No annotation found
Bra039061	Cellulose-synthase-like C4
Bra039062	nodulin MtN21 /EamA-like transporter family protein
Bra039063	Leucine-rich receptor-like protein kinase family protein
Bra039064	Exonuclease family protein
Bra039065	myb domain protein 0
Bra039066	ribosomal protein L12-C
Bra039067	myb domain protein 21
Bra039068	RING/U-box superfamily protein
Bra039069	zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
Bra039070	photosystem II light harvesting complex gene 2.3
Bra039071	oleosin 4
Bra039072	LOB domain-containing protein 25
Bra039073	Transducin/WD40 repeat-like superfamily protein
Bra039074	No annotation found
Bra039075	No annotation found
Bra039076	Protein of unknown function (DUF707)
Bra039077	uridine kinase-like 5
Bra039078	Auxin-Induced in Root cultures 1
Bra039079	Auxin-Induced in Root cultures 1
Bra039081	Pectin lyase-like superfamily protein
Bra039082	succinate dehydrogenase 2-1
Bra039083	plant UBX domain-containing protein 1
Bra039084	glucose-6-phosphate dehydrogenase 5
Bra039085	RNI-like superfamily protein
Bra039086	prohibitin 4
Bra039087	lysine histidine transporter 1
Bra039088	global transcription factor group E8
Bra039089	Cytochrome C1 family
Bra039090	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra039091	Ribosomal protein S21 family protein
Bra039092	No annotation found
Bra039093	DCD (Development and Cell Death) domain protein
Bra039094	No annotation found
Bra039095	YELLOW STRIPE like 6
Bra039096	TEOSINTE BRANCHED 1, cycloidea, PCF (TCP)-domain family protein 20
Bra039097	actin related protein 2
Bra039098	Pollen Ole e 1 allergen and extensin family protein
Bra039099	membrane-anchored ubiquitin-fold protein 4 precursor
Bra039100	ENTH/VHS family protein
Bra039101	Protein kinase superfamily protein
Bra039102	DHHC-type zinc finger family protein
Bra039103	dsRNA-binding protein 3
Bra039104	No annotation found
Bra039105	RING domain ligase1
Bra039106	Major facilitator superfamily protein
Bra039107	beta-1,4-N-acetylglucosaminyltransferase family protein
Bra039108	myb domain protein 57
Bra039109	Transducin/WD40 repeat-like superfamily protein
Bra039110	Adenine nucleotide alpha hydrolases-like superfamily protein
Bra039111	No annotation found
Bra039112	No annotation found
Bra039113	carbonic anhydrase 1
Bra039114	Protein kinase superfamily protein
Bra039115	cyclophilin 38
Bra039116	homeobox 1
Bra039117	methyl-CPG-binding domain 9
Bra039118	PsbQ-like 1
Bra039119	Expressed protein
Bra039120	Peroxidase superfamily protein
Bra039121	vacuolar membrane ATPase 10
Bra039122	transferases;sulfuric ester hydrolases;catalytics;transferases
